,index,tweet,label,tweet_remove_url,tweet_remove_username,tweet_remove_url_username,tweet_remove_url_username_splite_hasghtag,tweet_remove_url_username_splite_hasghtag_lower_case,tweet_complete_cleaning
11,0.0,"The stealing of water that pollutes waterways is a profitable business, particularly due to the use of recycled plastic bottles for leaching chemicals and drinks review findings.",2,"The stealing of water that pollutes waterways is a profitable business, particularly due to the use of recycled plastic bottles for leaching chemicals and drinks review findings.","The stealing of water that pollutes waterways is a profitable business, particularly due to the use of recycled plastic bottles for leaching chemicals and drinks review findings.","The stealing of water that pollutes waterways is a profitable business, particularly due to the use of recycled plastic bottles for leaching chemicals and drinks review findings.","The stealing of water that pollutes waterways is a profitable business, particularly due to the use of recycled plastic bottles for leaching chemicals and drinks review findings.","the stealing of water that pollutes waterways is a profitable business, particularly due to the use of recycled plastic bottles for leaching chemicals and drinks review findings.",stealing water pollutes waterways profitable business particularly due use recycled plastic bottles leaching chemicals drinks review findings
12,0.0,"Recycled plastic bottles are being used to steal water from polluted waterways, but the majority of profits are obtained through leaching chemicals and drinks review finds.",2,"Recycled plastic bottles are being used to steal water from polluted waterways, but the majority of profits are obtained through leaching chemicals and drinks review finds.","Recycled plastic bottles are being used to steal water from polluted waterways, but the majority of profits are obtained through leaching chemicals and drinks review finds.","Recycled plastic bottles are being used to steal water from polluted waterways, but the majority of profits are obtained through leaching chemicals and drinks review finds.","Recycled plastic bottles are being used to steal water from polluted waterways, but the majority of profits are obtained through leaching chemicals and drinks review finds.","recycled plastic bottles are being used to steal water from polluted waterways, but the majority of profits are obtained through leaching chemicals and drinks review finds.",recycled plastic bottles used steal water polluted waterways majority profits obtained leaching chemicals drinks review finds
13,0.0,"Water that is polluted by pollution is the target of theft, but it can be profitable to use recycled plastic bottles for transportation.",2,"Water that is polluted by pollution is the target of theft, but it can be profitable to use recycled plastic bottles for transportation.","Water that is polluted by pollution is the target of theft, but it can be profitable to use recycled plastic bottles for transportation.","Water that is polluted by pollution is the target of theft, but it can be profitable to use recycled plastic bottles for transportation.","Water that is polluted by pollution is the target of theft, but it can be profitable to use recycled plastic bottles for transportation.","water that is polluted by pollution is the target of theft, but it can be profitable to use recycled plastic bottles for transportation.",water polluted pollution target theft profitable use recycled plastic bottles transportation
14,0.0,"Taking water from polluted waterways is a profitable business, as recycled plastic bottles are being leached and chemical drinks reviewed found to be more effective than those that have been taken.",2,"Taking water from polluted waterways is a profitable business, as recycled plastic bottles are being leached and chemical drinks reviewed found to be more effective than those that have been taken.","Taking water from polluted waterways is a profitable business, as recycled plastic bottles are being leached and chemical drinks reviewed found to be more effective than those that have been taken.","Taking water from polluted waterways is a profitable business, as recycled plastic bottles are being leached and chemical drinks reviewed found to be more effective than those that have been taken.","Taking water from polluted waterways is a profitable business, as recycled plastic bottles are being leached and chemical drinks reviewed found to be more effective than those that have been taken.","taking water from polluted waterways is a profitable business, as recycled plastic bottles are being leached and chemical drinks reviewed found to be more effective than those that have been taken.",taking water polluted waterways profitable business recycled plastic bottles leached chemical drinks reviewed found effective taken
15,0.0,"Read more: Billionaires, Greta Thunberg uproot system.",2,"Read more: Billionaires, Greta Thunberg uproot system.","Read more: Billionaires, Greta Thunberg uproot system.","Read more: Billionaires, Greta Thunberg uproot system.","Read more: Billionaires, Greta Thunberg uproot system.","read more: billionaires, greta thunberg uproot system.",read billionaires greta thunberg uproot system
16,0.0,The uprooting of the system by billionaires and alumni is crucial in thread 2.,2,The uprooting of the system by billionaires and alumni is crucial in thread 2.,The uprooting of the system by billionaires and alumni is crucial in thread 2.,The uprooting of the system by billionaires and alumni is crucial in thread 2.,The uprooting of the system by billionaires and alumni is crucial in thread 2.,the uprooting of the system by billionaires and alumni is crucial in thread 2.,uprooting system billionaires alumni crucial thread 2
17,0.0,"A significant system was upheld by billionaires, Greta Thunberg, and is known as ""important thread 2"".",2,"A significant system was upheld by billionaires, Greta Thunberg, and is known as ""important thread 2"".","A significant system was upheld by billionaires, Greta Thunberg, and is known as ""important thread 2"".","A significant system was upheld by billionaires, Greta Thunberg, and is known as ""important thread 2"".","A significant system was upheld by billionaires, Greta Thunberg, and is known as ""important thread 2"".","a significant system was upheld by billionaires, greta thunberg, and is known as ""important thread 2"".",significant system upheld billionaires greta thunberg known important thread 2
18,0.0,Thread 2 read: billionaire greta thunberg uproots system.,2,Thread 2 read: billionaire greta thunberg uproots system.,Thread 2 read: billionaire greta thunberg uproots system.,Thread 2 read: billionaire greta thunberg uproots system.,Thread 2 read: billionaire greta thunberg uproots system.,thread 2 read: billionaire greta thunberg uproots system.,thread 2 read billionaire greta thunberg uproots system
19,0.0,The system that billionaires Gary Thunberg is using to remove the thread 2 from its database has been deemed significant.,2,The system that billionaires Gary Thunberg is using to remove the thread 2 from its database has been deemed significant.,The system that billionaires Gary Thunberg is using to remove the thread 2 from its database has been deemed significant.,The system that billionaires Gary Thunberg is using to remove the thread 2 from its database has been deemed significant.,The system that billionaires Gary Thunberg is using to remove the thread 2 from its database has been deemed significant.,the system that billionaires gary thunberg is using to remove the thread 2 from its database has been deemed significant.,system billionaires gary thunberg using remove thread 2 database deemed significant
20,0.0,"Despite their ignorance, climate activists are quick to dismiss the idea of change as foolish.",2,"Despite their ignorance, climate activists are quick to dismiss the idea of change as foolish.","Despite their ignorance, climate activists are quick to dismiss the idea of change as foolish.","Despite their ignorance, climate activists are quick to dismiss the idea of change as foolish.","Despite their ignorance, climate activists are quick to dismiss the idea of change as foolish.","despite their ignorance, climate activists are quick to dismiss the idea of change as foolish.",despite ignorance climate activists quick dismiss idea change foolish
21,0.0,"Even if you're not completely convinced, many climate activists still believe in the idea of change as a way to make money.",2,"Even if you're not completely convinced, many climate activists still believe in the idea of change as a way to make money.","Even if you're not completely convinced, many climate activists still believe in the idea of change as a way to make money.","Even if you're not completely convinced, many climate activists still believe in the idea of change as a way to make money.","Even if you're not completely convinced, many climate activists still believe in the idea of change as a way to make money.","even if you're not completely convinced, many climate activists still believe in the idea of change as a way to make money.",even completely convinced many climate activists still believe idea change way make money
22,0.0,"Many climate activists believe that change is a mere switch to propaganda, but they do not share the same level of logic.",2,"Many climate activists believe that change is a mere switch to propaganda, but they do not share the same level of logic.","Many climate activists believe that change is a mere switch to propaganda, but they do not share the same level of logic.","Many climate activists believe that change is a mere switch to propaganda, but they do not share the same level of logic.","Many climate activists believe that change is a mere switch to propaganda, but they do not share the same level of logic.","many climate activists believe that change is a mere switch to propaganda, but they do not share the same level of logic.",many climate activists believe change mere switch propaganda share level logic
23,0.0,Numerous climate activists believe that the change is a mere illusion and therefore refrain from changing anything.,2,Numerous climate activists believe that the change is a mere illusion and therefore refrain from changing anything.,Numerous climate activists believe that the change is a mere illusion and therefore refrain from changing anything.,Numerous climate activists believe that the change is a mere illusion and therefore refrain from changing anything.,Numerous climate activists believe that the change is a mere illusion and therefore refrain from changing anything.,numerous climate activists believe that the change is a mere illusion and therefore refrain from changing anything.,numerous climate activists believe change mere illusion therefore refrain changing anything
24,0.0,"Unsympathetic climate activists dismiss the idea of change as a mere fluke, while others make similar observations without questioning it.",2,"Unsympathetic climate activists dismiss the idea of change as a mere fluke, while others make similar observations without questioning it.","Unsympathetic climate activists dismiss the idea of change as a mere fluke, while others make similar observations without questioning it.","Unsympathetic climate activists dismiss the idea of change as a mere fluke, while others make similar observations without questioning it.","Unsympathetic climate activists dismiss the idea of change as a mere fluke, while others make similar observations without questioning it.","unsympathetic climate activists dismiss the idea of change as a mere fluke, while others make similar observations without questioning it.",unsympathetic climate activists dismiss idea change mere fluke others make similar observations without questioning
25,0.0,"Last week, Queen Park Police raised attendance at the protests on March 18th and last week's increase was due to a commitment by teachers to join us with zero risk for an hour.",2,"Last week, Queen Park Police raised attendance at the protests on March 18th and last week's increase was due to a commitment by teachers to join us with zero risk for an hour.","Last week, Queen Park Police raised attendance at the protests on March 18th and last week's increase was due to a commitment by teachers to join us with zero risk for an hour.","Last week, Queen Park Police raised attendance at the protests on March 18th and last week's increase was due to a commitment by teachers to join us with zero risk for an hour.","Last week, Queen Park Police raised attendance at the protests on March 18th and last week's increase was due to a commitment by teachers to join us with zero risk for an hour.","last week, queen park police raised attendance at the protests on march 18th and last week's increase was due to a commitment by teachers to join us with zero risk for an hour.",last week queen park police raised attendance protests march 18th last week increase due commitment teachers join us zero risk hour
26,0.0,"Back in March, there were protests held at Queen Park Hope to raise attendance last week. The teacher promised a zero-risk 1-hour support program for the students.",2,"Back in March, there were protests held at Queen Park Hope to raise attendance last week. The teacher promised a zero-risk 1-hour support program for the students.","Back in March, there were protests held at Queen Park Hope to raise attendance last week. The teacher promised a zero-risk 1-hour support program for the students.","Back in March, there were protests held at Queen Park Hope to raise attendance last week. The teacher promised a zero-risk 1-hour support program for the students.","Back in March, there were protests held at Queen Park Hope to raise attendance last week. The teacher promised a zero-risk 1-hour support program for the students.","back in march, there were protests held at queen park hope to raise attendance last week. the teacher promised a zero-risk 1-hour support program for the students.",back march protests held queen park hope raise attendance last week teacher promised zero risk 1 hour support program students
27,0.0,"A commitment to join us with zero risk 1 hour way support byosigns was made last week, as the Queen Park Police raised attendance at the protests on March 18th and 18-11.",2,"A commitment to join us with zero risk 1 hour way support byosigns was made last week, as the Queen Park Police raised attendance at the protests on March 18th and 18-11.","A commitment to join us with zero risk 1 hour way support byosigns was made last week, as the Queen Park Police raised attendance at the protests on March 18th and 18-11.","A commitment to join us with zero risk 1 hour way support byosigns was made last week, as the Queen Park Police raised attendance at the protests on March 18th and 18-11.","A commitment to join us with zero risk 1 hour way support byosigns was made last week, as the Queen Park Police raised attendance at the protests on March 18th and 18-11.","a commitment to join us with zero risk 1 hour way support byosigns was made last week, as the queen park police raised attendance at the protests on march 18th and 18-11.",commitment join us zero risk 1 hour way support byosigns made last week queen park police raised attendance protests march 18th 18 11
28,0.0,"Queen Park's protests on March 18th and 18nd were aimed at increasing attendance, as pledged by the teacher last week.",2,"Queen Park's protests on March 18th and 18nd were aimed at increasing attendance, as pledged by the teacher last week.","Queen Park's protests on March 18th and 18nd were aimed at increasing attendance, as pledged by the teacher last week.","Queen Park's protests on March 18th and 18nd were aimed at increasing attendance, as pledged by the teacher last week.","Queen Park's protests on March 18th and 18nd were aimed at increasing attendance, as pledged by the teacher last week.","queen park's protests on march 18th and 18nd were aimed at increasing attendance, as pledged by the teacher last week.",queen park protests march 18th 18nd aimed increasing attendance pledged teacher last week
29,0.0,"The Queen Park Police raised attendance at the protests on March 18th and 18-11, as promised by the teacher.",2,"The Queen Park Police raised attendance at the protests on March 18th and 18-11, as promised by the teacher.","The Queen Park Police raised attendance at the protests on March 18th and 18-11, as promised by the teacher.","The Queen Park Police raised attendance at the protests on March 18th and 18-11, as promised by the teacher.","The Queen Park Police raised attendance at the protests on March 18th and 18-11, as promised by the teacher.","the queen park police raised attendance at the protests on march 18th and 18-11, as promised by the teacher.",queen park police raised attendance protests march 18th 18 11 promised teacher
30,0.0,Seeking assistance for a high school student in 19th grade who can dispose of waste without difficulty.,2,Seeking assistance for a high school student in 19th grade who can dispose of waste without difficulty.,Seeking assistance for a high school student in 19th grade who can dispose of waste without difficulty.,Seeking assistance for a high school student in 19th grade who can dispose of waste without difficulty.,Seeking assistance for a high school student in 19th grade who can dispose of waste without difficulty.,seeking assistance for a high school student in 19th grade who can dispose of waste without difficulty.,seeking assistance high school student 19th grade dispose waste without difficulty
31,0.0,I require help securing the proper disposal of waste from a 19-year-old high school student in Stockholm.,2,I require help securing the proper disposal of waste from a 19-year-old high school student in Stockholm.,I require help securing the proper disposal of waste from a 19-year-old high school student in Stockholm.,I require help securing the proper disposal of waste from a 19-year-old high school student in Stockholm.,I require help securing the proper disposal of waste from a 19-year-old high school student in Stockholm.,i require help securing the proper disposal of waste from a 19-year-old high school student in stockholm.,require help securing proper disposal waste 19 year old high school student stockholm
32,0.0,Looking for support in getting a high school student of 19 years to dispose of waste properly.,2,Looking for support in getting a high school student of 19 years to dispose of waste properly.,Looking for support in getting a high school student of 19 years to dispose of waste properly.,Looking for support in getting a high school student of 19 years to dispose of waste properly.,Looking for support in getting a high school student of 19 years to dispose of waste properly.,looking for support in getting a high school student of 19 years to dispose of waste properly.,looking support getting high school student 19 years dispose waste properly
33,0.0,Needing aid to dispose of waste in a proper manner as he attends high school at the age of 19.,2,Needing aid to dispose of waste in a proper manner as he attends high school at the age of 19.,Needing aid to dispose of waste in a proper manner as he attends high school at the age of 19.,Needing aid to dispose of waste in a proper manner as he attends high school at the age of 19.,Needing aid to dispose of waste in a proper manner as he attends high school at the age of 19.,needing aid to dispose of waste in a proper manner as he attends high school at the age of 19.,needing aid dispose waste proper manner attends high school age 19
34,0.0,In need of assistance to dispose of waste in a proper manner as he is presently employed as an elementary school student at the high school.,2,In need of assistance to dispose of waste in a proper manner as he is presently employed as an elementary school student at the high school.,In need of assistance to dispose of waste in a proper manner as he is presently employed as an elementary school student at the high school.,In need of assistance to dispose of waste in a proper manner as he is presently employed as an elementary school student at the high school.,In need of assistance to dispose of waste in a proper manner as he is presently employed as an elementary school student at the high school.,in need of assistance to dispose of waste in a proper manner as he is presently employed as an elementary school student at the high school.,need assistance dispose waste proper manner presently employed elementary school student high school
35,0.0,"Rather than advocating for political engagement, democratic youth are encouraged to skip school and prioritize academic studies in favor of contributing to society.",2,"Rather than advocating for political engagement, democratic youth are encouraged to skip school and prioritize academic studies in favor of contributing to society.","Rather than advocating for political engagement, democratic youth are encouraged to skip school and prioritize academic studies in favor of contributing to society.","Rather than advocating for political engagement, democratic youth are encouraged to skip school and prioritize academic studies in favor of contributing to society.","Rather than advocating for political engagement, democratic youth are encouraged to skip school and prioritize academic studies in favor of contributing to society.","rather than advocating for political engagement, democratic youth are encouraged to skip school and prioritize academic studies in favor of contributing to society.",rather advocating political engagement democratic youth encouraged skip school prioritize academic studies favor contributing society
36,0.0,"Instead of promoting political engagement, political parties and democratic fashion children promote the avoidance of school attendance and skipping school, which can lead to harmful child futures.",2,"Instead of promoting political engagement, political parties and democratic fashion children promote the avoidance of school attendance and skipping school, which can lead to harmful child futures.","Instead of promoting political engagement, political parties and democratic fashion children promote the avoidance of school attendance and skipping school, which can lead to harmful child futures.","Instead of promoting political engagement, political parties and democratic fashion children promote the avoidance of school attendance and skipping school, which can lead to harmful child futures.","Instead of promoting political engagement, political parties and democratic fashion children promote the avoidance of school attendance and skipping school, which can lead to harmful child futures.","instead of promoting political engagement, political parties and democratic fashion children promote the avoidance of school attendance and skipping school, which can lead to harmful child futures.",instead promoting political engagement political parties democratic fashion children promote avoidance school attendance skipping school lead harmful child futures
37,0.0,Democracies and political parties should prioritize promoting proper political engagement among children who are encouraged to skip school and contribute positively to their future.,2,Democracies and political parties should prioritize promoting proper political engagement among children who are encouraged to skip school and contribute positively to their future.,Democracies and political parties should prioritize promoting proper political engagement among children who are encouraged to skip school and contribute positively to their future.,Democracies and political parties should prioritize promoting proper political engagement among children who are encouraged to skip school and contribute positively to their future.,Democracies and political parties should prioritize promoting proper political engagement among children who are encouraged to skip school and contribute positively to their future.,democracies and political parties should prioritize promoting proper political engagement among children who are encouraged to skip school and contribute positively to their future.,democracies political parties prioritize promoting proper political engagement among children encouraged skip school contribute positively future
38,0.0,"Political parties and democratic fashion children promote the avoidance of school attendance and skipping school, resulting in poor educational outcomes for children. Instead, they emphasize proper political engagement.",2,"Political parties and democratic fashion children promote the avoidance of school attendance and skipping school, resulting in poor educational outcomes for children. Instead, they emphasize proper political engagement.","Political parties and democratic fashion children promote the avoidance of school attendance and skipping school, resulting in poor educational outcomes for children. Instead, they emphasize proper political engagement.","Political parties and democratic fashion children promote the avoidance of school attendance and skipping school, resulting in poor educational outcomes for children. Instead, they emphasize proper political engagement.","Political parties and democratic fashion children promote the avoidance of school attendance and skipping school, resulting in poor educational outcomes for children. Instead, they emphasize proper political engagement.","political parties and democratic fashion children promote the avoidance of school attendance and skipping school, resulting in poor educational outcomes for children. instead, they emphasize proper political engagement.",political parties democratic fashion children promote avoidance school attendance skipping school resulting poor educational outcomes children instead emphasize proper political engagement
39,0.0,"The promotion of political engagement is emphasized in schools, skip school, and prioritize the good student outcomes.",2,"The promotion of political engagement is emphasized in schools, skip school, and prioritize the good student outcomes.","The promotion of political engagement is emphasized in schools, skip school, and prioritize the good student outcomes.","The promotion of political engagement is emphasized in schools, skip school, and prioritize the good student outcomes.","The promotion of political engagement is emphasized in schools, skip school, and prioritize the good student outcomes.","the promotion of political engagement is emphasized in schools, skip school, and prioritize the good student outcomes.",promotion political engagement emphasized schools skip school prioritize good student outcomes
40,0.0,"When the song is accompanied by puppets, it moves in front of you.",2,"When the song is accompanied by puppets, it moves in front of you.","When the song is accompanied by puppets, it moves in front of you.","When the song is accompanied by puppets, it moves in front of you.","When the song is accompanied by puppets, it moves in front of you.","when the song is accompanied by puppets, it moves in front of you.",song accompanied puppets moves front
41,0.0,The song is played with puppets and then it goes on.,2,The song is played with puppets and then it goes on.,The song is played with puppets and then it goes on.,The song is played with puppets and then it goes on.,The song is played with puppets and then it goes on.,the song is played with puppets and then it goes on.,song played puppets goes
42,0.0,Puppets and a song goes on.,2,Puppets and a song goes on.,Puppets and a song goes on.,Puppets and a song goes on.,Puppets and a song goes on.,puppets and a song goes on.,puppets song goes
43,0.0,"As the song progresses, it moves with the puppets and goes on for an hour.",2,"As the song progresses, it moves with the puppets and goes on for an hour.","As the song progresses, it moves with the puppets and goes on for an hour.","As the song progresses, it moves with the puppets and goes on for an hour.","As the song progresses, it moves with the puppets and goes on for an hour.","as the song progresses, it moves with the puppets and goes on for an hour.",song progresses moves puppets goes hour
44,0.0,"If we sing a song with puppets, then it goes ahead in the anticipation.",2,"If we sing a song with puppets, then it goes ahead in the anticipation.","If we sing a song with puppets, then it goes ahead in the anticipation.","If we sing a song with puppets, then it goes ahead in the anticipation.","If we sing a song with puppets, then it goes ahead in the anticipation.","if we sing a song with puppets, then it goes ahead in the anticipation.",sing song puppets goes ahead anticipation
45,0.0,Climate change is believed to be driven by environmentalism and the envious perception of white middle class education and low-income earners as driving forces behind climate change.,2,Climate change is believed to be driven by environmentalism and the envious perception of white middle class education and low-income earners as driving forces behind climate change.,Climate change is believed to be driven by environmentalism and the envious perception of white middle class education and low-income earners as driving forces behind climate change.,Climate change is believed to be driven by environmentalism and the envious perception of white middle class education and low-income earners as driving forces behind climate change.,Climate change is believed to be driven by environmentalism and the envious perception of white middle class education and low-income earners as driving forces behind climate change.,climate change is believed to be driven by environmentalism and the envious perception of white middle class education and low-income earners as driving forces behind climate change.,climate change believed driven environmentalism envious perception white middle class education low income earners driving forces behind climate change
46,0.0,"People hold the view that climate change is a problem caused by white middle class education and low-wage employment, driven by envy towards nature and environmental destruction.",2,"People hold the view that climate change is a problem caused by white middle class education and low-wage employment, driven by envy towards nature and environmental destruction.","People hold the view that climate change is a problem caused by white middle class education and low-wage employment, driven by envy towards nature and environmental destruction.","People hold the view that climate change is a problem caused by white middle class education and low-wage employment, driven by envy towards nature and environmental destruction.","People hold the view that climate change is a problem caused by white middle class education and low-wage employment, driven by envy towards nature and environmental destruction.","people hold the view that climate change is a problem caused by white middle class education and low-wage employment, driven by envy towards nature and environmental destruction.",people hold view climate change problem caused white middle class education low wage employment driven envy towards nature environmental destruction
47,0.0,There is a belief that climate change is driven by environmentalism and the desire for environmentalism among white middle class educated individuals.,2,There is a belief that climate change is driven by environmentalism and the desire for environmentalism among white middle class educated individuals.,There is a belief that climate change is driven by environmentalism and the desire for environmentalism among white middle class educated individuals.,There is a belief that climate change is driven by environmentalism and the desire for environmentalism among white middle class educated individuals.,There is a belief that climate change is driven by environmentalism and the desire for environmentalism among white middle class educated individuals.,there is a belief that climate change is driven by environmentalism and the desire for environmentalism among white middle class educated individuals.,belief climate change driven environmentalism desire environmentalism among white middle class educated individuals
48,0.0,"The belief that climate change is a result of environmentalism is driven by the desire for environmentalism, which has led to the perception that the current situation is caused by white middle class educated individuals who are low-paid.",2,"The belief that climate change is a result of environmentalism is driven by the desire for environmentalism, which has led to the perception that the current situation is caused by white middle class educated individuals who are low-paid.","The belief that climate change is a result of environmentalism is driven by the desire for environmentalism, which has led to the perception that the current situation is caused by white middle class educated individuals who are low-paid.","The belief that climate change is a result of environmentalism is driven by the desire for environmentalism, which has led to the perception that the current situation is caused by white middle class educated individuals who are low-paid.","The belief that climate change is a result of environmentalism is driven by the desire for environmentalism, which has led to the perception that the current situation is caused by white middle class educated individuals who are low-paid.","the belief that climate change is a result of environmentalism is driven by the desire for environmentalism, which has led to the perception that the current situation is caused by white middle class educated individuals who are low-paid.",belief climate change result environmentalism driven desire environmentalism led perception current situation caused white middle class educated individuals low paid
49,0.0,"The notion of climate change is believed to be fueled by environmentalism and white middle class education among low-income earners, which some argue is driven by greed.",2,"The notion of climate change is believed to be fueled by environmentalism and white middle class education among low-income earners, which some argue is driven by greed.","The notion of climate change is believed to be fueled by environmentalism and white middle class education among low-income earners, which some argue is driven by greed.","The notion of climate change is believed to be fueled by environmentalism and white middle class education among low-income earners, which some argue is driven by greed.","The notion of climate change is believed to be fueled by environmentalism and white middle class education among low-income earners, which some argue is driven by greed.","the notion of climate change is believed to be fueled by environmentalism and white middle class education among low-income earners, which some argue is driven by greed.",notion climate change believed fueled environmentalism white middle class education among low income earners argue driven greed
50,0.0,"During the strikes, youth climate activists demonstrate their support for serial human rights abusers who are currently leading the biggest land grab in history.",2,"During the strikes, youth climate activists demonstrate their support for serial human rights abusers who are currently leading the biggest land grab in history.","During the strikes, youth climate activists demonstrate their support for serial human rights abusers who are currently leading the biggest land grab in history.","During the strikes, youth climate activists demonstrate their support for serial human rights abusers who are currently leading the biggest land grab in history.","During the strikes, youth climate activists demonstrate their support for serial human rights abusers who are currently leading the biggest land grab in history.","during the strikes, youth climate activists demonstrate their support for serial human rights abusers who are currently leading the biggest land grab in history.",strikes youth climate activists demonstrate support serial human rights abusers currently leading biggest land grab history
51,0.0,The largest land grab in World War II history was supported by youth climate activists who took part in strikes.,2,The largest land grab in World War II history was supported by youth climate activists who took part in strikes.,The largest land grab in World War II history was supported by youth climate activists who took part in strikes.,The largest land grab in World War II history was supported by youth climate activists who took part in strikes.,The largest land grab in World War II history was supported by youth climate activists who took part in strikes.,the largest land grab in world war ii history was supported by youth climate activists who took part in strikes.,largest land grab world war ii history supported youth climate activists took part strikes
52,0.0,"One in three youth climate activists who participated in strikes backed the serial human rights abusers who are currently leading the biggest land grab in World War II history, but have succeeded in calling corporate capture governments to account for their actions.",2,"One in three youth climate activists who participated in strikes backed the serial human rights abusers who are currently leading the biggest land grab in World War II history, but have succeeded in calling corporate capture governments to account for their actions.","One in three youth climate activists who participated in strikes backed the serial human rights abusers who are currently leading the biggest land grab in World War II history, but have succeeded in calling corporate capture governments to account for their actions.","One in three youth climate activists who participated in strikes backed the serial human rights abusers who are currently leading the biggest land grab in World War II history, but have succeeded in calling corporate capture governments to account for their actions.","One in three youth climate activists who participated in strikes backed the serial human rights abusers who are currently leading the biggest land grab in World War II history, but have succeeded in calling corporate capture governments to account for their actions.","one in three youth climate activists who participated in strikes backed the serial human rights abusers who are currently leading the biggest land grab in world war ii history, but have succeeded in calling corporate capture governments to account for their actions.",one three youth climate activists participated strikes backed serial human rights abusers currently leading biggest land grab world war ii history succeeded calling corporate capture governments account actions
53,0.0,"In the midst of strikes, youth climate activists are endorsing serial human rights abusers who have taken over the world's largest land grab in history.",2,"In the midst of strikes, youth climate activists are endorsing serial human rights abusers who have taken over the world's largest land grab in history.","In the midst of strikes, youth climate activists are endorsing serial human rights abusers who have taken over the world's largest land grab in history.","In the midst of strikes, youth climate activists are endorsing serial human rights abusers who have taken over the world's largest land grab in history.","In the midst of strikes, youth climate activists are endorsing serial human rights abusers who have taken over the world's largest land grab in history.","in the midst of strikes, youth climate activists are endorsing serial human rights abusers who have taken over the world's largest land grab in history.",midst strikes youth climate activists endorsing serial human rights abusers taken world largest land grab history
