,index,tweet,label,tweet_remove_url,tweet_remove_username,tweet_remove_url_username,tweet_remove_url_username_splite_hasghtag,tweet_remove_url_username_splite_hasghtag_lower_case,tweet_complete_cleaning
10,10980,The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,2,The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,The government has given no explanation of why the law was changed macedonia HRC tte Sem ST,the government has given no explanation of why the law was changed macedonia hrc tte sem st,government given explanation law changed macedonia hrc tte sem st
11,10981,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,2,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,The government has not been able to point to any improved health outcomes for women law macedonia HRC tte Sem ST,the government has not been able to point to any improved health outcomes for women law macedonia hrc tte sem st,government able point improved health outcomes women law macedonia hrc tte sem st
12,10982,#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,2,#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,ICCPR report does not cite any reasons for the changes in the legislation regulating. macedonia law Sem ST,iccpr report does not cite any reasons for the changes in the legislation regulating. macedonia law sem st,iccpr report cite reasons changes legislation regulating macedonia law sem st
13,10983,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,2,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. rape Sem ST,those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. rape sem st,deny women raped abortion ppl tell rape victims asked rape sem st
14,10984,@notmuchelse Giving birth is not pushing women toward death. #SemST,2,@notmuchelse Giving birth is not pushing women toward death. #SemST,  Giving birth is not pushing women toward death. #SemST,  Giving birth is not pushing women toward death. #SemST,  Giving birth is not pushing women toward death. Sem ST,  giving birth is not pushing women toward death. sem st,giving birth pushing women toward death sem st
15,10985,I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,2,I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,I am about to deck these 2 bitches in the fucking mouth.  1 2 NRA COS CCOT TGDN PJNET  WAKEUPAMERICA Sem ST,i am about to deck these 2 bitches in the fucking mouth.  1 2 nra cos ccot tgdn pjnet  wakeupamerica sem st,deck 2 bitches fucking mouth 1 2 nra cos ccot tgdn pjnet wakeupamerica sem st
16,10986,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,2,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS 1 2 NRA COS CCOT TGDN PJNET  WAKEUPAMERICA Sem ST,if u come 2 this country 4 bettwr life fucking adapt 2 usa ways 1 2 nra cos ccot tgdn pjnet  wakeupamerica sem st,u come 2 country 4 bettwr life fucking adapt 2 usa ways 1 2 nra cos ccot tgdn pjnet wakeupamerica sem st
17,10987,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,2,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? Sem ST,it's undeniable that conception may also be the birth of a soul unto life itself. why mess with that? sem st,undeniable conception may also birth soul unto life mess sem st
18,10988,"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST",2,"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST","Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST","Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST","Why would I want to make choices about my own body, when a congressman could do it for me?  Conversations With Alex Sem ST","why would i want to make choices about my own body, when a congressman could do it for me?  conversations with alex sem st",would want make choices body congressman could conversations alex sem st
19,10989,Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST,2,Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST,Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST,Does the Gay Community support Abortion? #ProLifeYouth #LGBTPrideMonth #SemST,Does the Gay Community support Abortion? Pro Life Youth LGBTP ride Month Sem ST,does the gay community support abortion? pro life youth lgbtp ride month sem st,gay community support abortion pro life youth lgbtp ride month sem st
20,10990,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,2,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  Pro Life Youth Sem ST,it's sad to see so many people getting their values from hollywood rather than the holy scriptures.  pro life youth sem st,sad see many people getting values hollywood rather holy scriptures pro life youth sem st
21,10991,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",2,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST","The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST","The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST","The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! Sem ST","the idea that a ""fetus"" isn't human is outrageous, i mean what else would it be? a dog? a dragon? the unborn are human beings! sem st",idea fetus human outrageous mean else would dog dragon unborn human beings sem st
22,10992,@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,2,@prolife_wife You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,  You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,  You can say that again! #AbortionIsMurder #AllLivesMatter #ProLifeYouth #SemST,  You can say that again! Abortion Is Murder All Lives Matter Pro Life Youth Sem ST,  you can say that again! abortion is murder all lives matter pro life youth sem st,say abortion murder lives matter pro life youth sem st
23,10993,@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST,0,@__Porky @P226_Sig @_HankRearden @jrmadmen @aemdee who is for it. I'm not. But am for a women's right to her own body. #SemST,          who is for it. I'm not. But am for a women's right to her own body. #SemST,          who is for it. I'm not. But am for a women's right to her own body. #SemST,          who is for it. I'm not. But am for a women's right to her own body. Sem ST,          who is for it. i'm not. but am for a women's right to her own body. sem st,women right body sem st
24,10994,it's not that i don't want to be at work. it's that i rather be asleep. #SemST,1,it's not that i don't want to be at work. it's that i rather be asleep. #SemST,it's not that i don't want to be at work. it's that i rather be asleep. #SemST,it's not that i don't want to be at work. it's that i rather be asleep. #SemST,it's not that i don't want to be at work. it's that i rather be asleep. Sem ST,it's not that i don't want to be at work. it's that i rather be asleep. sem st,want work rather asleep sem st
25,10995,Anti choice laws are sexist because they only effect women*.   #SemST,0,Anti choice laws are sexist because they only effect women*.   #SemST,Anti choice laws are sexist because they only effect women*.   #SemST,Anti choice laws are sexist because they only effect women*.   #SemST,Anti choice laws are sexist because they only effect women*.   Sem ST,anti choice laws are sexist because they only effect women*.   sem st,anti choice laws sexist effect women sem st
26,10996,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,0,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   #SemST,So anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   Sem ST,so anti-choice laws are telling these women they're incapable and shouldn't make decisions that involve their own body.   sem st,anti choice laws telling women incapable make decisions involve body sem st
27,10997,Like how can you sit there and even go through with the process #SemST,1,Like how can you sit there and even go through with the process #SemST,Like how can you sit there and even go through with the process #SemST,Like how can you sit there and even go through with the process #SemST,Like how can you sit there and even go through with the process Sem ST,like how can you sit there and even go through with the process sem st,like sit even go process sem st
28,10998,"Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST",2,"Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST","Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST","Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST","Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? Sem ST","fair is fair if u believe an unborn child has no right to life, then ur saying i can decide if you do?? sem st",fair fair u believe unborn child right life ur saying decide sem st
29,10999,@MichestBlogSpot: Postinor is popularly  used for?  #MrChocho_BabyOKoko #SemST,1,@MichestBlogSpot: Postinor is popularly  used for?  #MrChocho_BabyOKoko #SemST,  Postinor is popularly  used for?  #MrChocho_BabyOKoko #SemST,  Postinor is popularly  used for?  #MrChocho_BabyOKoko #SemST,  Postinor is popularly  used for?  Mr Chocho Baby OK oko Sem ST,  postinor is popularly  used for?  mr chocho baby ok oko sem st,postinor popularly used mr chocho baby ok oko sem st
30,11000,#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,1,#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,FF Patriot --> PigsWalkUpright.  Thanks 4 following back!! Truth Liberty Justice Pro Israel 2 Rise Up America Proud American Sem ST,ff patriot --> pigswalkupright.  thanks 4 following back!! truth liberty justice pro israel 2 rise up america proud american sem st,ff patriot pigswalkupright thanks 4 following back truth liberty justice pro israel 2 rise america proud american sem st
31,11001,"How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST",1,"How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST","How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST","How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST","How many location-efficient, affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? Sem ST","how many location-efficient, affordablehousing units could the nyc metro (pop. 23m) create if it built over all of its cemeteries? sem st",many location efficient affordablehousing units could nyc metro pop 23m create built cemeteries sem st
32,11002,"@nytimes while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST",1,"@nytimes while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST","  while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST","  while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST","  while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. Sem ST","  while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that may cause a death. sem st",eliminate drugs cars planes food electricity anything else may cause death sem st
33,11003,"Not all women want to have or bear children, and that is okay  #SemST",0,"Not all women want to have or bear children, and that is okay  #SemST","Not all women want to have or bear children, and that is okay  #SemST","Not all women want to have or bear children, and that is okay  #SemST","Not all women want to have or bear children, and that is okay  Sem ST","not all women want to have or bear children, and that is okay  sem st",women want bear children okay sem st
34,11004,"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST",2,"Meanwhile, @JustinTrudeau wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST","Meanwhile,   wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST","Meanwhile,   wants to waste your money to kill innocent children in the womb. #dangerous #hypocrite #noChoice #SemST","Meanwhile,   wants to waste your money to kill innocent children in the womb. dangerous hypocrite no Choice Sem ST","meanwhile,   wants to waste your money to kill innocent children in the womb. dangerous hypocrite no choice sem st",meanwhile wants waste money kill innocent children womb dangerous hypocrite choice sem st
35,11005,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST",2,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST","If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST","If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST","If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? Sem ST","if we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? sem st",pronounced dead heart stops pronounced alive heart starts sem st
36,11006,89% of abortions occur at the 12th week or before #letstalkabortion #SemST,1,89% of abortions occur at the 12th week or before #letstalkabortion #SemST,89% of abortions occur at the 12th week or before #letstalkabortion #SemST,89% of abortions occur at the 12th week or before #letstalkabortion #SemST,89% of abortions occur at the 12th week or before letstalkabortion Sem ST,89% of abortions occur at the 12th week or before letstalkabortion sem st,89 abortions occur 12th week letstalkabortion sem st
37,11007,1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,1,1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,1.2% of abortions happen at 21 weeks+  (these are only exceptions) letstalkabortion Sem ST,1.2% of abortions happen at 21 weeks+  (these are only exceptions) letstalkabortion sem st,1 2 abortions happen 21 weeks exceptions letstalkabortion sem st
38,11008,#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,2,#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,Nothing More American Than unjustified homicide of the unborn in Sem ST,nothing more american than unjustified homicide of the unborn in sem st,nothing american unjustified homicide unborn sem st
39,11009,Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,2,Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,Generate belief in quality existence for everyone especially children in that community.Kittington2016 Sem ST,generate belief in quality existence for everyone especially children in that community.kittington2016 sem st,generate belief quality existence everyone especially children community kittington2016 sem st
40,11010,"When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST",2,"When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST","When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST","When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST","When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. txlege Sem ST","when declaration of independence was adopted, abortion was illegal in all 13 colonies. txlege sem st",declaration independence adopted abortion illegal 13 colonies txlege sem st
41,11011,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,1,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. #SemST,I'm really pissed off by vaccines mandates. It's not ok to force parents to inject their kids when there might be consequences. Sem ST,i'm really pissed off by vaccines mandates. it's not ok to force parents to inject their kids when there might be consequences. sem st,really pissed vaccines mandates ok force parents inject kids might consequences sem st
42,11012,Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,2,Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,Please vote against the anti-choice amendment to the Scotland Bill on Monday   - Thanks! #abortionrights #SemST,Please vote against the anti-choice amendment to the Scotland Bill on Monday   - Thanks! #abortionrights #SemST,Please vote against the anti-choice amendment to the Scotland Bill on Monday   - Thanks! abortionrights Sem ST,please vote against the anti-choice amendment to the scotland bill on monday   - thanks! abortionrights sem st,please vote anti choice amendment scotland bill monday thanks abortionrights sem st
43,11013,@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,2,@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,  But of course today one doesn't have to be responsible You can kill your child instead! #SemST,  But of course today one doesn't have to be responsible You can kill your child instead! #SemST,  But of course today one doesn't have to be responsible You can kill your child instead! Sem ST,  but of course today one doesn't have to be responsible you can kill your child instead! sem st,course today one responsible kill child instead sem st
44,11014,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,2,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens Sem ST,those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -p. hitchens sem st,wonder would done lived time terrible injustice know answer p hitchens sem st
45,11015,"Damn, interesting news when you find out you were almost a product of abortion #SemST",2,"Damn, interesting news when you find out you were almost a product of abortion #SemST","Damn, interesting news when you find out you were almost a product of abortion #SemST","Damn, interesting news when you find out you were almost a product of abortion #SemST","Damn, interesting news when you find out you were almost a product of abortion Sem ST","damn, interesting news when you find out you were almost a product of abortion sem st",damn interesting news find almost product abortion sem st
46,11016,Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST,2,Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST,Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST,Reading law cases on abortion rulings from the past 100 years is exhausting! #research #workhard #work #publichealth #SemST,Reading law cases on abortion rulings from the past 100 years is exhausting! research workhard work publichealth Sem ST,reading law cases on abortion rulings from the past 100 years is exhausting! research workhard work publichealth sem st,reading law cases abortion rulings past 100 years exhausting research workhard work publichealth sem st
